rank   director                              actor                            films_together  total_films
-----  ------------------------------------  -------------------------------  --------------  -----------
1      Mariano Ozores                        Antonio Ozores                   61              83         
2      Yôji Yamada                           Kiyoshi Atsumi                   55              87         
3      Jesús Franco                          Antonio Mayans                   40              145        
4      Osman F. Seden                        Nubar Terziyan                   40              119        
5      Mark Polonia                          Jeff Kirkendall                  37              55         
6      Sergey A.                             Sergey A.                        37              48         
7      Gilberto Martínez Solares             Germán Valdés                    36              136        
8      Michael Fredianelli                   Michael Fredianelli              33              57         
9      Cüneyt Arkin                          Cüneyt Arkin                     33              33         
10     William Beaudine                      Huntz Hall                       31              143        
11     Miguel M. Delgado                     Cantinflas                       31              108        
12     Cheh Chang                            David Chiang                     31              92         
13     Priyadarshan                          Mohanlal                         31              71         
14     P. Ramlee                             P. Ramlee                        31              33         
15     Joel Lamangan                         Jim Pebanco                      30              82         
16     Alice O'Fredericks                    Poul Reichhardt                  30              65         
17     Jing Wong                             Pak-Cheung Chan                  29              113        
18     Alonso O. Lara                        Luis Huizar                      29              34         
19     Ertem Egilmez                         Münir Özkul                      28              42         
20     Hasse Ekman                           Hasse Ekman                      28              41         
21     William Witney                        Roy Rogers                       27              92         
22     K. Raghavendra Rao                    Brahmanandam                     27              66         
23     Woody Allen                           Woody Allen                      27              51         
24     Gerald Thomas                         Kenneth Williams                 27              47         
25     Apostolos Tegopoulos                  Nikos Xanthopoulos               27              40         
26     Carlo Verdone                         Carlo Verdone                    27              28         
27     Jean-Pierre Mocky                     Jean-Pierre Mocky                26              65         
28     Natuk Baytan                          Cüneyt Arkin                     26              52         
29     Kartal Tibet                          Kemal Sunal                      26              44         
30     Mario Hernández                       Antonio Aguilar                  26              36         
31     K. Balachander                        Kamal Haasan                     25              55         
32     Johnnie To                            Suet Lam                         25              55         
33     Lau Lauritzen                         Ib Schønberg                     25              54         
34     Joshiy                                Mammootty                        25              48         
35     Erik Balling                          Ove Sprogøe                      25              39         
36     Sammo Kam-Bo Hung                     Sammo Kam-Bo Hung                25              32         
37     Henk van der Linden                   Hub Consten                      25              27         
38     Giannis Dalianidis                    Kostas Voutsas                   24              74         
39     Martin Fric                           Jaroslav Marvan                  24              68         
40     Yasujirô Ozu                          Chishû Ryû                       24              43         
41     Clint Eastwood                        Clint Eastwood                   24              40         
42     S.P. Muthuraman                       Rajinikanth                      24              37         
43     Herbert Achternbusch                  Herbert Achternbusch             24              26         
44     Lesley Selander                       William Boyd                     23              108        
45     Sathyan Anthikad                      Innocent Vareed Thekkethala      23              41         
46     Christopher Forbes                    Jerry Chesser                    23              34         
47     Ere Kokkonen                          Vesa-Matti Loiri                 23              33         
48     Damian Chapa                          Damian Chapa                     23              24         
49     Kostas Karagiannis                    Lavrentis Dianellos              22              101        
50     Marino Girolami                       Ennio Girolami                   22              63         
51     Neri Parenti                          Christian De Sica                22              46         
52     A. Kodandarami Reddy                  Chiranjeevi                      22              44         
53     Swapan Saha                           Prosenjit Chatterjee             22              44         
54     Rafael Baledón                        Pedro D'Aguillón                 21              79         
55     Türker Inanoglu                       Necdet Tosun                     21              65         
56     Michael Fredianelli                   Michael Nosé                     21              57         
57     I.V. Sasi                             Mammootty                        21              43         
58     Sergiu Nicolaescu                     Sergiu Nicolaescu                21              39         
59     Puri Jagannadh                        Mohammad Ali                     21              37         
60     Sacha Guitry                          Sacha Guitry                     21              29         
61     Pedro Lazaga                          José Luis López Vázquez          20              86         
62     Joseph Kane                           Roy Rogers                       20              80         
63     Ülkü Erakalin                         Nubar Terziyan                   20              76         
64     Franz Antel                           Gunther Philipp                  20              72         
65     Yuen Chor                             Fei Ai                           20              60         
66     Fred C. Brannon                       Roy Barcroft                     20              39         
67     Kanti Shah                            Vinod Tripathi                   20              35         
68     Sam Newfield                          Al St. John                      19              100        
69     John English                          Gene Autry                       19              52         
70     Arne Mattsson                         Nils Hallberg                    19              52         
71     Sadao Nakajima                        Bunta Sugawara                   19              52         
72     Kaneto Shindô                         Taiji Tonoyama                   19              44         
73     Hiroshi Inagaki                       Toshirô Mifune                   19              35         
74     Tyler Perry                           Tyler Perry                      19              31         
75     Akira Kurosawa                        Takashi Shimura                  19              30         
76     Lau Lauritzen                         Harald Madsen                    19              26         
77     T.L.V. Prasad                         Mithun Chakraborty               19              26         
78     E.V.V. Satyanarayana                  Brahmanandam                     19              25         
79     Al Carretta                           Al Carretta                      19              20         
80     Mario Mattoli                         Carlo Campanini                  18              71         
81     Teruo Ishii                           Ken Takakura                     18              57         
82     Géza von Cziffra                      Oskar Sima                       18              53         
83     Hulki Saner                           Sadri Alisik                     18              47         
84     T.J. Särkkä                           Aku Korhonen                     18              47         
85     A. Razak Mohaideen                    Saiful Apek                      18              41         
86     Hasse Ekman                           Stig Järrel                      18              41         
87     Shakti Samanta                        Madan Puri                       18              34         
88     Andrew Jones                          Lee Bane                         18              28         
89     Gopal B.                              Brahmanandam                     18              23         
90     Robert Guédiguian                     Jean-Pierre Darroussin           18              23         
91     Knut Bohwim                           Arve Opsahl                      18              20         
92     Mariano Alvarez                       Luis Huizar                      18              20         
93     Géza von Bolváry                      Paul Hörbiger                    17              70         
94     Jean-Pierre Mocky                     Jean Abeillé                     17              65         
95     Ismael Rodríguez                      Pedro Infante                    17              62         
96     Ishirô Honda                          Akihiko Hirata                   17              46         
97     David Dhawan                          Govinda                          17              42         
98     Ingmar Bergman                        Gunnar Björnstrand               17              41         
99     Mahesh Bhatt                          Avtar Gill                       17              39         
100    Yasuo Furuhata                        Ken Takakura                     17              34         
101    Manoel de Oliveira                    Luís Miguel Cintra               17              33         
102    Raúl de Anda Jr.                      Rodolfo de Anda                  17              28         
103    Travis Mills                          Travis Mills                     17              24         
104    James Franco                          James Franco                     17              22         
105    Alberto Sordi                         Alberto Sordi                    17              18         
106    Dada Kondke                           Dada Kondke                      17              17         
107    Anjan Choudhury                       Ranjit Mallick                   17              17         
108    Paul T.T. Easter                      Paul T.T. Easter                 17              17         
109    Nejat Saydam                          Reha Yurdakul                    16              85         
110    Ray Enright                           Allen Jenkins                    16              66         
111    Yilmaz Atadeniz                       Behçet Nacar                     16              61         
112    Memduh Ün                             Reha Yurdakul                    16              60         
113    Kinji Fukasaku                        Hideo Murota                     16              59         
114    Yasuzô Masumura                       Eiji Funakoshi                   16              54         
115    Kenji Misumi                          Shintarô Katsu                   16              49         
116    José María Forqué                     José Luis López Vázquez          16              42         
117    Ragnar Frisk                          Artur Rolén                      16              42         
118    Çetin Inanç                           Cüneyt Arkin                     16              42         
119    André Berthomieu                      Paul Faivre                      16              39         
120    Ramón Torrado                         Xan das Bolas                    16              39         
121    E.W. Emo                              Hans Moser                       16              37         
122    Víctor Manuel Castro                  Víctor Manuel Castro             16              36         
123    Tony Y. Reyes                         Vic Sotto                        16              33         
124    Aarne Tarkas                          Leo Jokela                       16              32         
125    Rafael Villaseñor Kuri                Vicente Fernández                16              30         
126    Brett Bentman                         Tom Zembrod                      16              26         
127    Sigurd Wallén                         Sigurd Wallén                    16              25         
128    Teddy Page                            Jim Gaines                       16              25         
129    Fernando Fernán Gómez                 Fernando Fernán Gómez            16              24         
130    Carlos Manga                          Oscarito                         16              23         
131    Yilmaz Güney                          Yilmaz Güney                     16              18         
132    Hugo Haas                             Hugo Haas                        16              18         
133    Joe Sherlock                          John Bowker                      16              18         
134    Ibrahim Tatlises                      Ibrahim Tatlises                 16              17         
135    Orhan Aksoy                           Hulusi Kentmen                   15              83         
136    Herman Yau                            Anthony Chau-Sang Wong           15              77         
137    George B. Seitz                       Lewis Stone                      15              71         
138    Emilio Gómez Muriel                   Carlos López Moctezuma           15              67         
139    Mikio Naruse                          Daisuke Katô                     15              66         
140    Han Hsiang Li                         Shen Chan                        15              58         
141    Frank R. Strayer                      Danny Mummert                    15              53         
142    Roger Corman                          Jonathan Haze                    15              50         
143    Bruno Corbucci                        Tomas Milian                     15              46         
144    Pupi Avati                            Gianni Cavina                    15              44         
145    Remzi A. Jöntürk                      Cüneyt Arkin                     15              42         
146    Marcel L'Herbier                      Jaque Catelain                   15              39         
147    Melih Gülgen                          Cüneyt Arkin                     15              38         
148    Wu Ma                                 Wu Ma                            15              35         
149    Wenn V. Deramas                       DJ Durano                        15              29         
150    Haranath Chakraborty                  Ranjit Mallick                   15              29         
151    Armando Bo                            Armando Bo                       15              27         
152    Chia-Liang Liu                        Chia-Hui Liu                     15              25         
153    Alfred Cheung                         Alfred Cheung                    15              22         
154    Márta Mészáros                        Jan Nowicki                      15              22         
155    Takeshi Kitano                        Takeshi Kitano                   15              20         
156    Iraj Ghaderi                          Iraj Ghaderi                     15              20         
157    S.V. Krishna Reddy                    Brahmanandam                     15              19         
158    Ben Feleo                             Andrew E.                        15              19         
159    Zeki Alasya                           Zeki Alasya                      15              18         
160    Luis Trenker                          Luis Trenker                     15              17         
161    Paul Tanter                           Simon Phillips                   15              17         
162    Fred Williamson                       Fred Williamson                  15              16         
163    Paul Naschy                           Paul Naschy                      15              15         
164    Leonardo Pieraccioni                  Leonardo Pieraccioni             15              15         
165    Fernando Poe Jr.                      Fernando Poe Jr.                 15              15         
166    Alfredo B. Crevenna                   Raúl Ramírez                     14              110        
167    John Ford                             John Wayne                       14              82         
168    Steno                                 Totò                             14              72         
169    Enrique Carreras                      Palito Ortega                    14              69         
170    Takashi Miike                         Ken'ichi Endô                    14              68         
171    Gustaf Molander                       Erik 'Bullen' Berglund           14              57         
172    Orestis Laskos                        Giannis Gionakis                 14              53         
173    Masahiro Makino                       Seizaburô Kawazu                 14              53         
174    Cecil B. DeMille                      Theodore Roberts                 14              51         
175    Antonio Margheriti                    Luciano Pigozzi                  14              51         
176    Dino Risi                             Vittorio Gassman                 14              51         
177    Arturo Martínez                       Rodolfo de Anda                  14              50         
178    Roy William Neill                     Nigel Bruce                      14              50         
179    Ryûichi Hiroki                        Tomorô Taguchi                   14              48         
180    Süreyya Duru                          Cüneyt Arkin                     14              44         
181    Schamyl Bauman                        John Botvid                      14              39         
182    Manuel Romero                         Enrique Roldán                   14              38         
183    Ahmad Idham                           Cat Farish                       14              35         
