rank  director                      actor_director_h_index  total_films
----  ----------------------------  ----------------------  -----------
1     Cheh Chang                    13                      92         
2     Osman F. Seden                10                      119        
3     Miguel M. Delgado             10                      108        
4     Kostas Karagiannis            10                      101        
5     Yôji Yamada                   10                      87         
6     Priyadarshan                  10                      71         
7     Jesús Franco                  9                       145        
8     William Beaudine              9                       143        
9     Gilberto Martínez Solares     9                       136        
10    Pedro Lazaga                  9                       86         
11    Mariano Ozores                9                       83         
12    Giannis Dalianidis            9                       74         
13    Martin Fric                   9                       68         
14    K. Raghavendra Rao            9                       66         
15    Türker Inanoglu               9                       65         
16    Yilmaz Atadeniz               9                       61         
17    Yuen Chor                     9                       60         
18    Mark Polonia                  9                       55         
19    Ishirô Honda                  9                       46         
20    Jing Wong                     8                       113        
21    Sam Newfield                  8                       100        
22    Frank McDonald                8                       90         
23    Nejat Saydam                  8                       85         
24    Orhan Aksoy                   8                       83         
25    Joseph Kane                   8                       80         
26    Franz Antel                   8                       72         
27    Alice O'Fredericks            8                       65         
28    Rafael Gil                    8                       60         
29    Kinji Fukasaku                8                       59         
30    Johnnie To                    8                       55         
31    Natuk Baytan                  8                       52         
32    Arturo Martínez               8                       50         
33    Joshiy                        8                       48         
34    T.J. Särkkä                   8                       47         
35    Gerald Thomas                 8                       47         
36    A. Kodandarami Reddy          8                       44         
37    Swapan Saha                   8                       44         
38    David Dhawan                  8                       42         
39    Sathyan Anthikad              8                       41         
40    Erik Balling                  8                       39         
41    Sergiu Nicolaescu             8                       39         
42    Víctor Manuel Castro          8                       36         
43    Henk van der Linden           8                       27         
44    Lew Landers                   7                       125        
45    Godfrey Ho                    7                       111        
46    Alfredo B. Crevenna           7                       110        
47    Lesley Selander               7                       108        
48    René Cardona                  7                       106        
49    Atif Yilmaz                   7                       100        
50    Lloyd Bacon                   7                       92         
51    John Ford                     7                       82         
52    Rafael Baledón                7                       79         
53    Orhan Elmas                   7                       79         
54    Ülkü Erakalin                 7                       76         
55    Spencer Gordon Bennet         7                       72         
56    René Cardona Jr.              7                       72         
57    Aram Gülyüz                   7                       71         
58    Mario Mattoli                 7                       71         
59    Géza von Bolváry              7                       70         
60    Enrique Carreras              7                       69         
61    Mikio Naruse                  7                       66         
62    Jean-Pierre Mocky             7                       65         
63    Marino Girolami               7                       63         
64    Han Hsiang Li                 7                       58         
65    Teruo Ishii                   7                       57         
66    Michael Fredianelli           7                       57         
67    Dustin Ferguson               7                       57         
68    K. Balachander                7                       55         
69    Omiros Efstratiadis           7                       55         
70    Lau Lauritzen                 7                       54         
71    Orestis Laskos                7                       53         
72    Masahiro Makino               7                       53         
73    Jaime Salvador                7                       53         
74    Arne Mattsson                 7                       52         
75    Sadao Nakajima                7                       52         
76    O. Nuri Ergün                 7                       51         
77    Alekos Sakellarios            7                       51         
78    Ertem Göreç                   7                       49         
79    Hulki Saner                   7                       47         
80    Dinos Dimopoulos              7                       46         
81    Neri Parenti                  7                       46         
82    Pupi Avati                    7                       44         
83    Kaneto Shindô                 7                       44         
84    I.V. Sasi                     7                       43         
85    Ertem Egilmez                 7                       42         
86    Çetin Inanç                   7                       42         
87    Apostolos Tegopoulos          7                       40         
88    Fred C. Brannon               7                       39         
89    Manuel Romero                 7                       38         
90    Alonso O. Lara                7                       34         
91    Ere Kokkonen                  7                       33         
92    Kihachi Okamoto               7                       33         
93    Demofilo Fidani               7                       19         
94    Rui Constantino               7                       17         
95    Michael Curtiz                6                       112        
